artist.inverted,track,lyrics
Mya,The Best Of Me,"Mya F/ Jadakiss
Miscellaneous
The Best Of Me
[Jadakiss](Mya) 
Uh, huh 
I don't wanna get the best of you, ha-ha (whoa) 
Yo, yo 

[Mya](Jadakiss) 
You put me on 
I can't let, (nah, yeah) let him go no 
(I just wanna do what's best for you) 
Can't let you get, oh no (Yo, yo) 

He has a little game that he plays 
Clever little ways and a hot boy style 
Racks up on the dough that he makes 
Flash a little cash watch girls wild out 
Lately he's been checking for me 
Telling me how much he wants to be 
Wants to be the one to replace 
Replace the man that waits at home for me 

1 - But oh no I can't let you 
Get the best of me 
Even though deep inside 
Something's dying to see 
How you flow out them clothes 
Then you put it on me 
Feelings coming on strong 
I know that it's wrong 
I can't let you get the best of me 

(You put it on me) 
The best of me 
(You put it on me) 

So busy trying to play with my head 
Telling me how he could blow my mind 
Something about the things that he said 
Made me want to take it there one time 
I should be walking away 
Cause his hands up on my thigh 
Should I leave, should I stay? 
After all it's just one night 

Repeat 1 

(You put it on me) 
The best of me 
(You put it on me) 

[Jadakiss] 
Yo, yo, yo I got so many bags of money 
That they won't fit in the bank 
And I'mma do this just like Tony did it to Frank 
But I'mma make sure both y'all win 
Let him keep the place you move 
And I'mma pay both y'alls rent 
So forget about the condo and come to the crib 
Cause the castle over the mountain come with a bridge 
You know literally we can go shopping in Italy 
Hand on her thigh she don't wanna get rid of me 
And she don't drink or know how a L look 
Chanel look mixed with the Pete Arnell look 
You just stay pretty while I'm running the city 
When I whip the V you can hold the joint if you with me 
Vacation cost a hundred and fifty we living it up 
I put it on your ass if you giving up 
And you know I'm not a hater 
And if you feel bad then you can call him later 
And tell him you all Jada's 

[Mya] 
Oh no I can't let you 
Get the best of me 
Even though deep inside 
Something's dying to see 
How you flow out them clothes 
Then you put it on me 
You ain't gonna get to me 
You can't get the best of me 

Repeat 1 

Oh no I can't let you 
Get the best of me 
Even though deep inside 
Something's dying to see 
How you flow out them clothes 
Then you put it on me 
Oh yeah, oh..."
"Heatherly, Eric",Flowers On The Wall,"I keep hearin' your concern about my happiness
All that thought you've given me is, conscience I guess
If I were walkin' in your shoes, I wouldn't worry none
While you and your friends are worryin' 'bout me
I'm havin' lots of fun

Countin' flowers on the wall, that don't bother me at all
Playin' solitaire 'til dawn, with a deck of fifty-one
Smokin' cigarettes and watchin' Captain Kangaroo
Now don't tell me, I've nothin' to do

Last night I dressed in tails, pretended I was on the town
As long as I can dream, it's hard to slow this swinger down
So please don't give a thought to me, I'm really doin' fine
You can always find me here, havin' quite a time

Countin' flowers on the wall, that don't bother me at all
Playin' solitaire 'til dawn, with a deck of fifty-one
Smokin' cigarettes and watchin' Captain Kangaroo
Now don't tell me, I've nothin' to do

It's good to see you, I must go I know I look a fright
Anyway my eyes are not accustomed to this light
And my shoes are not accustomed to this hard concrete
So I must go back to my room and make my day complete

Countin' flowers on the wall, that don't bother me at all
Playin' solitaire 'til dawn, with a deck of fifty-one
Smokin' cigarettes and watchin' Captain Kangaroo
Now don't tell me, I've nothin' to do
Don't tell me, I've nothin' to do"
Eminem,Stan,"My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Slim, I wrote you but you still ain't callin'
I left my cell, my pager
And my home phone at the bottom
I sent two letters back in autumn
You must not have got 'em
It probably was a problem
At the post office or somethin'

Sometimes I scribble addresses
Too sloppy when I jot 'em
But anyways fuck it
What's been up man, how's your daughter?
My girlfriend's pregnant too
I'm out to be a father
If I have a daughter, guess what I'm a call her?
I'm a name her Bonnie

I read about your Uncle Ronnie too, I'm sorry
I had a friend kill himself over some bitch
Who didn't want him
I know you probably hear this everyday
But I'm your biggest fan
I even got the underground shit that you did with scam

I got a room full of your posters
And your pictures man
I like the shit you did with Ruckus too
That shit was fat
Anyways I hope you get this, man
Hit me back just to chat
Truly yours, your biggest fan
This is Stan

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Slim, you still ain't called or wrote
I hope you have the chance, I ain't mad
I just think it's fucked up, you don't answer fans
If you didn't want to talk to me
Outside the concert you didn't have to
But you could've signed an autograph for Matthew
That's my little brother man

He's only 6 years old
We waited in the blistering cold for you
For 4 hours and you just said ""No""
That's pretty shitty man
You're like his fuckin' idol
He wants to be just like you man
He likes you more than I do

I ain't that mad though I just don't like bein' lied to
Remember when we met in Denver
You said if I write to you, you would write back
See I'm just like you in a way
I never knew my father neither
He used to always cheat on my mom and beat her

I can relate to what you're sayin' in your songs
So when I have a shitty day
I drift away and put 'em on
Cause I don't really got shit else
So that shit helps when I'm depressed
I even got a tattoo
With your name across the chest

Sometimes I even cut myself
To see how much it bleeds?
It's like Adrenaline
The pain is such a sudden rush for me
See everything you say is real
And I respect you 'cause you tell it
My girlfriend's jealous
'Cause I talk about you 24/7

But she don't know you like
I know you Slim, no one does
She don't know what it was like?
For people like us growing up
You've gotta call me man
I'll be the biggest fan you'll ever lose
Sincerely yours, Stan
P.S. We should be together too

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Mister, I'm too good to call or write my fans
This'll be the last package I ever send your ass
It's been six months and still no word
I don't deserve it?
I know you got my last two letters
I wrote the addresses on 'em perfect

So this is my cassette I'm sending you
I hope you hear it
I'm in the car right now
I'm doing 90 on the freeway
Hey Slim, I drink a fifth of vodka
Ya dare me to drive?

You know this song by Phil Collins
'From the air in the night'
About that guy who could have saved
That other guy from drowning?
But didn't, then Phil saw it all
Then at his show he found him

That's kinda how this is
You could have rescued me from drowning
Now it's too late
I'm on a thousand downers, now I'm drowsy

And all I wanted was a lousy letter or a call
I hope you know
I ripped all  your pictures off the wall
I loved you Slim, we could have been together
Think about it, you ruined it now

I hope you can't sleep and you dream about it
And when you dream, I hope you can't sleep
And you scream about it
I hope your conscious eats at you
And you can't breathe without me

See Slim, ""Shut up bitch!
I'm trying to talk""
Hey Slim, that's my girlfriend screaming in the trunk
But I didn't slit her throat I just tied her up
See I ain't like you
'Cause if she suffocates she'll suffer more
And then she'll die too

Well gotta go
I'm almost at the bridge now
Oh shit! I forgot!
How am I supposed to send this shit out?

My tea's gone cold I'm wondering why I?
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could it'd all be gray
But your picture on my wall
It reminds me that it's not so bad
It's not so bad

Dear Stan, I meant to write you sooner
But I've just been busy
You said your girlfriend's pregnant now
How far along is she?
Look I'm really flattered
You would call your daughter that
And here's an autograph for your brother
I wrote it on your starter cap

I'm sorry I didn't see you at the show
I must have missed you
Don't think I did that shit intentionally
Just to diss you
And what's this shit you said about
You like to cut your wrist too?
I say that shit just clownin' dawg
C'mon, how fucked up is you?

You got some issues Stan
I think you need some counselin''
To help your ass from bouncin' off the walls
When you get down some
And what's this shit about us
Meant to be together?
That type of shit'll make me not want us
To meet each other

I really think you and your girlfriend
Need each other
Or maybe you just need to treat her better
I hope you get to read this letter
I just hope it reaches you in time
Before you hurt yourself
I think that you'll be doin' just fine
If you'd relax a little

I'm glad I inspire you
But Stan, why are you so mad?
Try to understand
That I do want you as a fan
I just don't want you to do some crazy shit
I seen this one shit on the news
A couple weeks ago that made me sick

Some dude was drunk and drove his car over a bridge
And had his girlfriend in the trunk
And she was pregnant with his kid
And in the car they found a tape
But it didn't say who it was to?
Come to think about it
His name was, it was you! Damn!"
"McEntire, Reba",I'll Be,"When darkness falls upon your heart and soul
I'll be the light that shines for you
When you forget, how beautiful you are
I'll be there to remind you
When you can't find your way
I'll find my way to you
When troubles come around
I will come to you

I'll be your shoulder
When you need someone to lean on
Be your shelter
When you need someone to see you through
I'll be there to carry you, I'll be there
I'll be the rock that will be strong for you
The one that will hold on to you
When you feel that rain fallin' down
When there's nobody else around
I'll be

And when you're there, with no one there to hold
I'll be the arms, that reach for you
And when you feel your faith is running low
I'll be there to believe in you
When all you find are lies
I'll be the truth you need
When you need someone to run to
You can run to me

I'll be your shoulder
When you need someone to lean on
Be your shelter
When you need someone to see you through
I'll be there to carry you, I'll be there
I'll be the rock that will be strong for you
The one that will hold on to you
When you feel that rain fallin' down
When there's nobody else around
I'll be

I'll be the sun
When your hearts filled with rain
I'll be the one
To chase the rain away

I'll be your shoulder
When you need someone to lean on
Be your shelter
When you need someone to see you through
I'll be there to carry you, I'll be there
I'll be the rock that will be strong for you
The one that will hold on to you
When you feel that rain fallin' down
When there's nobody else around
I'll be
I'll be"
"Lopez, Jennifer",Feelin' Good,"We got artist of the year rhyming here
Grammy nominations and platinum plus
Ain't nothing, baby, all I want in life
Yo, yo, yo, yo, yo

You priceless, you like diamonds and icey wrists
We got chedda, I'm twice as rich
Make you bite your lips, Jenny, you know you like unless
Nice and thick, if you ever leave me I'd slice my wrists
Treat you like a bitch, never that

We got beef where my niggaz at
Streets is where I'm living at

Where the glock, that's the sounds of the mini mack
Where we at, uptown where it's really at
Here me yack, I want the mansion, the yacht
Advance on the spot, we can dance till we drop
Let my hands slip a knot

Joe you the don, Jenny, you the bomb
Any man disrespect, good as gone

When I opened up my eyes today
Felt the sun shining on my face
It became so clear to me
That everything is going my way

I feel like there's no limit to what I can see
Got rid of my fears that were holding me
My endless possibilities
Has the whole world opened up for me
That's why I'm feeling

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around

Now the day is turning into night
And everything is still going right
There's no way you can stop me this time
Or break this spirit of mine, oh no

Like the stars above I'm gonna shine
Anything I want will be mine
Tonight I'm gonna have a good time
Call a few friends of mine
'Cause I'm loving life and tonight's for feeling

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around

Boricua, that's you mamacita
Puerto Rican diva from La Isla Bonita
Let me freak ya on the dance floor
Lead your man off
He's just trying to get your pants off

That's the last straw, Pun, I ain't got a glass jaw
Better run when you see me coming through the back door
Crack smart, I give it all for my brother
There's to things I don't share
That's my money and my mother

I love honeys since the paradise for real
Seis caps some steel, this better scrap for real
Shut up your grill, you know we never fight
It's your world, girl, set it off right

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around

I'm feelin' so, party every night
Everything is feelin' right
I'm feelin' so, party every night
Everything is feelin' right
The world's gonna treat me right

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around

I'm feeling so good, I knew that I would
Been taking care of myself like I should
'Cause not one thing can bring me down
Nothing in this world's gonna turn me around
..."
"Urban, Keith",Your Everything,"The first time I looked in your eyes, I knew
That I would do anything for you
The first time you touched my face, I felt
What I've never felt with anyone else

I want to give back what you've givin' to me
I wanna witness all of your dreams
Now that you've shown me who I really am
I wanna be more then just your man

I wanna be the wind that fills your sails
And be the hand that lifts your veil
And be the moon that moves your tide
The sun coming up in your eyes

Be the wheels that never rust
And be the spark that lights you up
All that you've been dreaming of
And more, so much more
I wanna be your everything

When you wake up, I'll be the first thing you see
And when it gets dark you can reach out for me
I'll cherish your words and I'll finish your thoughts
And I'll be your compass baby, when you get lost

I wanna be the wind that fills your sails
And be the hand that lifts your veil
And be the moon that moves your tide
The sun coming up in your eyes

Be the wheels that never rust
And be the spark that lights you up
All that you've been dreaming of
And more, so much more
I wanna be your everything

I'll be the wheels that never rust
Be the spark that lights you up
All that you've been dreaming of
And more, so much more

I wanna be your everything
I wanna be your everything
I wanna be your everything"
TLC,Dear Lie,"Dear Lie, you suck
You said, you could fix anything
Instead, I'm done
You made things even worse for me
If I had balls Id tell you get away from me
Guess, Im not smart
I let you unnerve me, I let you control me
Afraid the truth would hurt me
When its you that hurts me more
Get outta my mouth
Get outta my head
Get outta my mind
Stop putting words in my head
Get outta my mouth, youre nothing but trouble
Get outta my life, get out of me
Out of me, out of me
Out of me, out of me, Lie
Lie, Lie, Lie, Lie, Lie
Dear Lie, youre dumb
You think, youve got the best of me
You think, you won
Misread my vulnerability
Ive got your walls
Now get the hell away from me
Ive learned your art
Wont let you unnerve me
Wont let you control me
The truth will only free me
And your lies wont hurt no, no more
Get outta my mouth
Get outta my head
Get outta my mind (out of my mind)
Stop putting words in my head
Get outta my mouth, you're nothing but trouble
Get outta my life, get out of me
Out of me, out of me
Out of me, out of me, Lie
Lie, Lie, Lie, Lie, Lie, Lie
I've got your balls
Now get the hell away from me
I learned your art
Wont let you unnerve me
Wont let you control me
The truth will only free me
And your lies wont hurt no, no more
Get outta my mouth (out of my mouth)
Get outta my head (out of my head)
Get outta my mind (get... out of my mind)
Stop putting words in my head
Get outta my mouth, you're nothing but trouble
Get outta my life, get out of me
Out of me, out of me
Out of me, out of me, Lie
Lie, Lie, Lie, Lie, Lie, Lie

Dear Lie
Lie, Lie, Lie, Lie, Lie Lie
Dear Lie"
"Gill, Vince",Feels Like Love,"Look what my heart has gotten into
The sweetest gift I ever knew
It's even better than my favorite shoes
Look what my heart has found in you, really

Feels like sunshine, feels like rain
Lord it feels like love finally called my name
I wanna jump and shout, I wanna sing and dance
Lord it feels like love wants a second chance

Look what my heart can clearly see
How much I crave your company
A true companion I will always be
Look what my heart has done to me, really

Feels like sunshine, feels like rain
Lord it feels like love finally called my name
I wanna jump and shout, I wanna sing and dance
Lord it feels like love wants a second chance

Looks like my heart has become
The safest place for us to run
Well I'll be here for you when the day is done
Looks like my heart has found someone, really

Feels like sunshine, feels like rain
Lord it feels like love finally called my name
I wanna jump and shout, I wanna sing and dance
Lord it feels like love wants a second chance, really

Feels like sunshine, feels like rain
Lord it feels like love finally called my name
I wanna jump and shout, I wanna sing and dance
Lord it feels like love wants a second chance"
"Houston, Whitney",Could I Have This Kiss Forever,"Dame un beso para siempre
Over and over I look in your eyes
You are all I desire, you have captured me
I want to hold you, I want to be close to you
I never want to let go
I wish that this night would never end
I need to know

Could I hold you for a lifetime
Could I look into your eyes
Could I have this night to share this night together
Could I hold you close beside me
Could I hold you for all time
Could I, could I have this kiss forever
Could I, could I have this kiss forever

Over and over I've dreamed of this night
Now you're here by my side, you are next to me
I want to hold you and touch you and taste you
And make you want no one but me
I wish that this kiss could never end, no no
Oh baby, please

Could I hold you for a lifetime
Could I look into your eyes
Could I have this night to share this night together
Could I hold you close beside me
Could I hold you for all time
Could I, could I have this kiss forever
Could I, could I have this kiss forever

I don't want any night to go by
Without you by my side
I just want all my days
Spent being next to you
Lived for just loving you
And baby, oh by the way

Could I hold you for a lifetime
Could I look into your eyes
Could I have this night to share this night together
Could I hold you close beside me
Could I hold you for all time
Could I, could I have this kiss forever
Could I, could I have this kiss forever
Whenever, forever

S'lo, s'lo un beso, un beso para siempre
Para siempre
Dame un beso para siempre
Para siempre
Could I have this kiss forever
Could I have this kiss forever"
Bloodhound Gang,The Bad Touch,"{Well now we call this the act of mating
But there are several other very important differences
Between human beings and animals that you should know about
I'd appreciate your input}

Sweat baby sweat baby sex is a Texas drought
Me and you do the kind of stuff that only Prince would sing about
So put your hands down my pants and I'll bet you'll feel nuts
Yes I'm Siskel, yes I'm Hebert and you're getting two thumbs up

You've had enough of two hand touch
You want it rough you're out of bounds
I want you smothered want you covered
Like my waffle house hash browns

Come quicker than Fed-Ex never reach an apex
Just like Coca Cola stock
You are inclined to make me rise an hour early
Just like daylight savings time

(Do it now)
You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery channel
(Do it again now)
You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery channel
(Gettin' horny now)

Love the kind you clean up with a mop and bucket
Like the lost catacombs of Egypt only God knows where we stuck it
Hieroglyphics? let me be specific I wanna be down in your south seas
But I got this notion that the motion of your ocean
Means ""Small Craft Advisory""

So if I capsize on your thighs
High tide B 5 you sunk my battleship please turn me on
I'm Mister Coffee with an automatic drip, so show me yours
I'll show you mine tool time you'll love it just like Lyle
And then we'll do it doggy style so we can both watch X Files

(Do it now)
You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery Channel
(Do it again now)
You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery Channel
(Gettin' horny now)

You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery Channel
(Do it again now)
You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery Channel

(Do it now)
You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery Channel
(Do it again now)
You and me baby ain't nothin' but mammals
So let's do it like they do on the Discovery Channel
(Gettin' horny now)"
"Williams, Robbie",Angels,"I sit and wait
Does an angel
Contemplate my fate?
Do they know
The places where we go
When we're gray and old
'Cause I've been told
That salvation
Lets their wings unfold

So when I'm lyin' in my bed
Thoughts runnin' through my head
And I feel that love is dead
I'm lovin' angels instead

And through it all
She offers me protection
A love and affection
Whether I'm right or wrong
And down the waterfall
Wherever it may take me
I know that life won't break me
When I come to call
She won't forsake me
I'm lovin' angels instead

When I'm feelin' weak
And my pain walks down
A one way street
I look above
And I know I'll always be blessed with love

And as the feeling grows
She breathes flesh to my bones
An' when love is dead
I'm lovin' angels instead

And through it all
She offers me protection
A lot of love and affection
Whether I'm right or wrong
And down the waterfall
Wherever it may take me
I know that life won't break me
When I come to call
She won't forsake me
I'm lovin' angels instead

And through it all
She offers me protection
A lot of love and affection
Whether I'm right or wrong
And down the waterfall
Wherever it may take me
I know that life won't break me
When I come to call
She won't forsake me
I'm lovin' angels instead"
"Messina, Jo Dee",Because You Love Me,"I don't know how I survived
In this cold and empty world
For all this time
I only know that I'm alive
Because you love me

When I recall what I've been through
There's some things
That I wish I didn't do
Now I do the things I do
Because you love me

And now that you're in my life
I'm so glad I'm alive
'Cause you showed me the way
And I know now how good it can be
Because you love me

And now that you're in my life
I'm so glad I'm alive
'Cause you showed me the way
And I know now how good it can be
Because you love me

I believe in things unseen
I believe in the message of a dream
And I believe in what you are
Because you love me

With all my heart and all my soul
I'm loving you and I never will let go
And every day I'll let it show
Because you love me
Because you love me
Because you love me"
"Keith, Toby",Country Comes To Town,"Well the weatherman said it might storm today
I gotta hit the field, gotta bail some hay
And I can't let it rain on my daddy's farm
Til I get it all stacked up high in the barn

And I'm gonna call my baby, she's been waiting on me
Yeah, she lives down town on Sycamore Street
And the wheels on the black top, a startin' to whine
As I pass that Oklahoma City limit sign

I'm a hayseed and a plow boy
I'm a farm kid and a cowboy, I'm a roughneck
My daddy was a roughneck too

I run around with hillbilly girls
The weekend sits on my hillbilly world
You better be ready when the sun goes down
That's when country comes to town

Well her Daddy said, ""Child you better let him be
Well I don't like him and he sure don't like me""
Momma just says ""Y'all have a little fun""
Said, ""Ain't doin' nothing me and papa ain't done""

Open up the door to my pick-up truck
And my baby jumps in and she fires it up
And she gives me a kiss as I crawl in
We've been waiting all week for a weekend

I'm a hayseed and a plow boy
I'm a farm kid and a cowboy, I'm a roughneck
My daddy was a roughneck too

I run around with hillbilly girls
The weekend sits on my hillbilly world
You better be ready when the sun goes down
That's when country comes to town

Yeah it's true I run around with hillbilly girls
The weekend sits on my hillbilly world
You better be ready when the sun goes down
'Cause that's when country comes to town, here I come"
Beenie Man,Girls Dem Sugar,"Zagga zow, ziggy zow, zagga zow
Anyhow, badman nah bow
Zagga zow, ziggy zow, zagga zow
Anyhow Beenie Man and Mya deh yah now

Zagga zow, ziggy zow, zagga zow
Neptune mek number one tune yo
Zagga zow, ziggy zow, zagga
Ziggy zagga zeh zow zow

(Sim simma)
Beenie Man ah di girls dem sugar
(Sim simma)
Di girls dem world class lover
(Sim simma)
Dem girls dem need this nigga
(Sim simma)
Well, mi love dem shape and figure

(Sim simma)
Mi ah di man dem weh di girls admire
(Sim Simma)
Love di girl to mek dem bawl out fi Jah, Jah
(Sim simma)
And ah mi got di girls dem power
(Sim simma)
Yeah, mi cool and Mya sing by di hour now

You can take the stars like the sky for you
(Zagga ziggy zow)
There's nothing in this world that I wouldn't do for you
If I could be your girl
(Zagga zow, ziggy zow)
If I could be your girl

Yo, yo, excuse mi baby, but I really just have to tell yuh this
It's been awhile since I'm admiring yuh tenderness
Yuh Coca Cola bottle shape and all yuh cherry lips
A yuh alone? Mi waan fi hug love up and then mi kiss

And I waan fi show yuh, I'm a man dat's very romantic
But yuh mi favorite true mi girl dat's why mi never hitched
Nuh think, ah true yuh see mi now ah, yuh mi waan fi ship
But listen when mi sing this, nah tek fi kicks

(Sim simma)
Beenie Man ah di girls dem sugar
(Sim simma)
Di girls dem world class lover
(Sim simma)
Mi love dem shape and figure
(Sim simma)
Yuh know dem need this nigga

(Sim simma)
Mi ah di man dem weh di girls dem admire
(Sim simma)
Well, di girls dem love mi by di hour
(Sim simma)
Well, mi come with di girls dem power
(Sim simma)
Check it out and hear when Mya holla seh

You can take the stars like the sky for you
There's nothing in this world that I couldn't do for you
If I could be your girl, if I could be your girl

You can take the stars like the sky for you
There's nothing in this world that I couldn't do for you
If I could be your girl, if I could be your girl

One cup a water and three sour lime
Yuh ah John Mind, mi ah Joe Grind
Yuh give her di money and mi kill her with di wine
When yuh deh ah work, she deh pon yuh mind

But she deh ah Neptunes gate ah daytime
('Cause)
Woman ah write mi and ah call mi and ah tell mi dat
Mi bredda Richie Poo just hit di jackpot
But through di fashion and di ways and we style we got

(Sim simma)
Beenie Man ah di girls dem sugar
(Sim simma)
Di girls dem world class lover
(Sim simma)
Di girls dem need this nigga
(Sim simma)
Mi love dem shape and figure

(Sim simma)
Love di girl dem behind dat hour
(Sim simma)
Mek dem bawl and cry fi dem mother
(Sim simma)
Now yuh know mi have di girls dem power
(Sim simma)
Unno cool down and listen Mya haffi seh

Angel of mine
Angel, wanna be your prize
Angel, it maybe long
Angel, you and I explore

You can take the stars like the sky for you
There's nothing in this world that I couldn't do for you
If I could be your girl, if I could be your girl

You can take the stars like the sky for you
There's nothing in this world that I couldn't do for you
If I could be your girl, if I could be your girl

You can take the stars like the sky for you
There's nothing in this world that I couldn't do for you
If I could be your girl, if I could be your girl"
"Hill, Faith",Let's Make Love,"Baby, I've been drifting away
Dreaming all day
Of holding you
Touching you

The only thing I want to do
Is be with you
As close to you
As I can be

Let's make love, all night long
Until all our strength is gone
Hold on tight, just let go
I want to feel you in my soul
Until the sun comes up
Let's make love

Oh, baby

Do you know what you do to me
Everything inside of me
Is wanting you
And needing you

I'm so in love with you
Look in my eyes
Let's get lost tonight
In each other

Let's make love, all night long
Until all our strength is gone
Hold on tight, just let go
I want to feel you in my soul
Until the sun comes up
Let's make love

Let's make love, all night long
Until all our strength is gone
Hold on tight, just let go
I want to feel you in my soul
Until the sun comes up
Oh, until the sun comes up
Let's make love

Oh baby, let's make love
All night long, all night long
Let's make love"
Kelis,Caught Out There,"Yo, yo
Yo, this song, yo
This song is for all the women out there
That been lied to by their men
And I know you all been lied to
Over and over again
This is for y'all
Yo, maybe you didn't break the way you shoulda broke, yo
But I break, know what um saying, so
This is how it goes, yo
Psss
Damn
Yo, yo

Last year, Valentine's day
You would spoil me and say
""Babe, I love you, love you (Yo, he's lying) and I swear""
Held you when you were sick, even... (sucked yo dick)
The whole time I think to myself, this isn't fair

What is this I see (No)
You don't come home to me (Oh, no)
When you don't come home to me (Man)
Can't deal, can't bear

You keep tellin' me lies
But to your surprise
Look, I found her red coat
And you're (Bitch) caught out there

I hate you so much right now
I hate you so much right now
Ah
I hate you so much right now
I hate you so much right now
I hate you so much right now
Ahhhhh...
I hate you so much right now

So sick of your games, I'll set your truck to flames
And watch it blow up, blow up, (ha - ha - ha) tell me
How you gonna see it now
So far from sincere (I love you)
Fabrications in my ear
Drive me so far up the wall
I come slidin' down

What is this I see (I don't believe this)
You don't come home to me
When you don't come home to me
I can't deal, can't bear (I won't)

You keep tellin' me lies
But to your surprise
Look, I hope you're happy
Since you're caught out there

(Yeah, you've been caught)
Yo', come on
Come on

I hate you so much right now
I hate you so much right now
Ah
I hate you so much right now
I hate you so much right now
I hate you so much right now
Ah
I hate you so much right now

(She's so)
Raunchy, so vulgar, not me, why the hell her
Look, she dresses (Look at her)
A mess, what do you see (I don't know)
It's not all about cash (Hell, no)
Not how much you flash
How I dress is a reflection of me

What is this I see
You don't come home to me (Uh - uh)
When you don't come home to me
Can't deal, can't bear (Told you I won't)

You keep tellin' me lies
But to your surprise
Look, I got somethin' for y'all
Since you're caught out there

I hate you so much right now
I hate you so much right now
Ah
I hate you so much right now
I hate you so much right now
I hate you so much right now
Ah
I hate you so much right now"
