"","id","interes_politica","diario_mas_lee","grupos_influencia_su_opinion","autoposicionamiento_ideologico","autoposicionamiento_partidario","eval_gestion_NK","eval_futura_situacion_pais","progresismo_conservadurismo","nivel_nacionalismo","voto_comparado","voto_anterior_presidencial_2007","voto_anterior_caba_2006","pogr_estado_propietario_empresas","pogr_estado_interventor","cons_universidades_estatales_aranceladas","progr_adopcion_parejas_gay","cons_aumentar_penas","cons_bajar_edad_imputabilidad","pogr_control_precios_estado","sexo","edad","estud","trabajo","distrito","salud","pon","R_interes_politica","R_autoposicionamiento_ideologico","R_eval_gestion_NK","R_progresismo_conservadurismo","R_nacionalismo","R_pogr_estado_propietario_empresas","R_pogr_estado_interventor","R_cons_universidades_estatales_aranceladas","R_progr_adopcion_parejas_gay","R_cons_aumentar_penas","R_cons_bajar_edad_imputabilidad","R_pogr_control_precios_estado"
"11",11,"Bastante interesado","Clarín","Su pareja","No sabe","Peronismo","Buena","Mejor que ahora","Decididamente conservadora","Bastante nacionalista","Distinto que su padre","Cristina Kirchner","Mauricio Macri","Bastante de acuerdo","Algo en desacuerdo","Bastante de acuerdo","Algo en desacuerdo","Bastante de acuerdo","Muy de acuerdo","Muy de acuerdo","Mujer","50 a 65años","Secundario","Está desocupado",1,"No tiene cobertura",1.24366967665112,"2_Interesado","9_NS","2_Positiva","2_Progresista","2_Nacionalista","2_Acuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"12",12,"No sabe","No lee diarios","No sabe","No sabe","Peronismo","Regular positiva","Igual que ahora","No sabe","Muy nacionalista","Ns/Nc","No sabe","Mauricio Macri","Muy de acuerdo","Muy de acuerdo","No sabe","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Mujer","66 y más","Primario","Es ama de casa",1," Obra social",1.34369084653868,"9_NS","9_NS","2_Positiva","9_NS","2_Nacionalista","2_Acuerdo","2_Acuerdo","9_NS","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"13",13,"Bastante interesado","Página 12","Su familia","No sabe","Peronismo","Buena","Mejor que ahora","Decididamente progresista","Bastante nacionalista","Distinto que su padre","Cristina Kirchner","Daniel Filmus","Muy de acuerdo","Bastante de acuerdo","Algo en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Hombre","18 a 29 años","Secundario","Es estudiante",1,"No tiene cobertura",2.16767322841093,"2_Interesado","9_NS","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"14",14,"Poco interesado","Otros",NA,"Derecha","Peronismo","Mala","Peor que ahora","Algo conservadora","Nada nacionalista","Ns/Nc","No sabe","No sabe","Muy en desacuerdo","Muy en desacuerdo","Algo en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Bastante de acuerdo","Muy en desacuerdo","Mujer","66 y más","Terciario/ universitario","Es jubilado o pensionado",1,"Prepaga",0.268532594116069,"1_No interesado","2_Derecha","2_Positiva","2_Progresista","1_No nacionalista","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"15",15,"Muy interesado","No lee diarios",NA,"Centroizquierda","Socialismo","Buena","Igual que ahora","Decididamente progresista","Bastante nacionalista","Distinto que su padre","Cristina Kirchner","Daniel Filmus","Bastante de acuerdo","Muy de acuerdo","Muy en desacuerdo","Bastante de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Bastante de acuerdo","Mujer","30 a 49 años","Terciario/ universitario","Trabaja",1," Obra social",0.544356173452499,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"16",16,"Poco interesado","Clarín",NA,"Centroizquierda","Socialismo","Regular positiva","Igual que ahora","Algo progresista","Poco nacionalista","Distinto que su padre","Elisa Carrió","En blanco","Bastante de acuerdo","Bastante de acuerdo","Algo en desacuerdo","Algo en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Algo en desacuerdo","Mujer","50 a 65años","Terciario/ universitario","Trabaja",1," Obra social",0.425528873642081,"1_No interesado","1_Izquierda","2_Positiva","1_Conservador","1_No nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo"
"17",17,"Bastante interesado","Clarín",NA,"Centroizquierda","Radicalismo","Regular positiva","Igual que ahora","Decididamente progresista","Bastante nacionalista","Distinto que su padre","Roberto Lavagna","Daniel Filmus","Algo en desacuerdo","Muy de acuerdo","Algo en desacuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Algo en desacuerdo","Hombre","30 a 49 años","Terciario/ universitario","Está desocupado",1,"Prepaga",0.790864523947231,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","2_Nacionalista","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"18",18,"Poco interesado","Clarín","Otros grupos","Centroderecha","ARI","Regular positiva","No sabe","Algo conservadora","Bastante nacionalista","Distinto que su padre","Elisa Carrió","Mauricio Macri","Bastante de acuerdo","Muy de acuerdo","Bastante de acuerdo","Muy en desacuerdo","Muy de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Hombre","30 a 49 años","Terciario/ universitario","Trabaja",1,"No tiene cobertura",0.790864523947231,"1_No interesado","2_Derecha","2_Positiva","2_Progresista","2_Nacionalista","2_Acuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"19",19,"Bastante interesado","No lee diarios","Su familia","Derecha","PRO","Mala","Igual que ahora","Decididamente conservadora","Muy nacionalista","Ns/Nc","En blanco","Mauricio Macri","Algo en desacuerdo","Muy en desacuerdo","Bastante de acuerdo","Muy en desacuerdo","Muy de acuerdo","Bastante de acuerdo","Muy en desacuerdo","Hombre","30 a 49 años","Secundario","Está desocupado",1,"No tiene cobertura",2.31141595246858,"2_Interesado","2_Derecha","2_Positiva","2_Progresista","2_Nacionalista","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"20",20,"No sabe","La Nación","Sus compañeros de estudio","No sabe","No sabe","No sabe","No sabe","No sabe","Muy nacionalista","Distinto que su padre","No sabe","No sabe","Muy de acuerdo","No sabe","No sabe","No sabe","Muy de acuerdo","No sabe","No sabe","Mujer","30 a 49 años","Secundario","Está desocupado",1,"No tiene cobertura",1.59095964611357,"9_NS","9_NS","9_NS","9_NS","2_Nacionalista","2_Acuerdo","9_NS","9_NS","9_NS","2_Acuerdo","9_NS","9_NS"
"21",21,"Muy interesado","La Nación","Su familia","Centroderecha","PRO","Mala","Peor que ahora","Decididamente conservadora","Bastante nacionalista","Igual que su padre","Roberto Lavagna","Mauricio Macri","Algo en desacuerdo","Bastante de acuerdo","Muy en desacuerdo","Bastante de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Hombre","66 y más","Secundario","Es estudiante",1," Obra social",1.14022868127134,"2_Interesado","2_Derecha","2_Positiva","2_Progresista","2_Nacionalista","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"22",22,"Poco interesado","Página 12","Su familia","Izquierda","PRO","Buena","Mejor que ahora","Decididamente progresista","Bastante nacionalista","Igual que su padre","En blanco","Daniel Filmus","Bastante de acuerdo","Bastante de acuerdo","Algo en desacuerdo","Algo en desacuerdo","Algo en desacuerdo","Muy de acuerdo","Bastante de acuerdo","Mujer","30 a 49 años","Terciario/ universitario","Trabaja",1," Obra social",0.544356173452499,"1_No interesado","1_Izquierda","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo"
"23",23,"Poco interesado","Clarín","Su familia","No sabe","Peronismo","Mala","Igual que ahora","No sabe","Ns/Nc","Ns/Nc","No sabe","Mauricio Macri","Algo en desacuerdo","No sabe","No sabe","Muy en desacuerdo","Bastante de acuerdo","No sabe","Algo en desacuerdo","Mujer","66 y más","Primario","Está desocupado",1," Obra social",1.34369084653868,"1_No interesado","9_NS","2_Positiva","9_NS","9_NS","1_Desacuerdo","9_NS","9_NS","1_Desacuerdo","2_Acuerdo","9_NS","1_Desacuerdo"
"24",24,"Bastante interesado","La Nación",NA,"Centroderecha","PRO","Regular positiva","Igual que ahora","Algo progresista","Bastante nacionalista","Igual que su padre","Roberto Lavagna","Mauricio Macri","Algo en desacuerdo","Algo en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Mujer","50 a 65años","Secundario","Está desocupado",1," Obra social",1.24366967665112,"2_Interesado","2_Derecha","2_Positiva","1_Conservador","2_Nacionalista","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"25",25,"No sabe","Clarín","Su familia","Derecha","Socialismo","Regular Negativa","Peor que ahora","No sabe","Bastante nacionalista","Ns/Nc","En blanco","Mauricio Macri","No sabe","No sabe","No sabe","Muy en desacuerdo","No sabe","No sabe","Muy en desacuerdo","Mujer","50 a 65años","Primario","Trabaja",1," Obra social",2.1292731868655,"9_NS","2_Derecha","2_Positiva","9_NS","2_Nacionalista","9_NS","9_NS","9_NS","1_Desacuerdo","9_NS","9_NS","1_Desacuerdo"
"26",26,"Bastante interesado","La Nación",NA,"No sabe","Radicalismo","Buena","Igual que ahora","Algo progresista","Nada nacionalista","Igual que su padre","Roberto Lavagna","Mauricio Macri","Bastante de acuerdo","Algo en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Mujer","30 a 49 años","Terciario/ universitario","Trabaja",1,"Prepaga",0.544356173452499,"2_Interesado","9_NS","2_Positiva","1_Conservador","1_No nacionalista","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo"
"27",27,"Poco interesado","Clarín","Su familia","Centroderecha","ARI","Regular Negativa","Igual que ahora","Algo progresista","Poco nacionalista","Igual que su padre","Elisa Carrió","Mauricio Macri","Muy de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Mujer","50 a 65años","Terciario/ universitario","Es jubilado o pensionado",1,"Prepaga",0.425528873642081,"1_No interesado","2_Derecha","2_Positiva","1_Conservador","1_No nacionalista","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"28",28,"Poco interesado","Clarín","Su familia","No sabe","PRO","Buena","Mejor que ahora","Algo progresista","Bastante nacionalista","Distinto que su padre","Roberto Lavagna","Mauricio Macri","Muy de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Algo en desacuerdo","Muy de acuerdo","Muy de acuerdo","Algo en desacuerdo","Mujer","66 y más","Secundario","Es jubilado o pensionado",1,"Prepaga",0.784825343662865,"1_No interesado","9_NS","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"29",29,"Poco interesado","Clarín","Su pareja","Centroderecha","Peronismo","Buena","Igual que ahora","Algo conservadora","Ns/Nc","Distinto que su padre","No sabe","No sabe","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","No sabe","Muy de acuerdo","Bastante de acuerdo","Muy de acuerdo","Mujer","50 a 65años","Terciario/ universitario","Está desocupado",1," Obra social",0.425528873642081,"1_No interesado","2_Derecha","2_Positiva","2_Progresista","9_NS","2_Acuerdo","2_Acuerdo","1_Desacuerdo","9_NS","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"30",30,"Poco interesado","Clarín","Sus compañeros de trabajo","No sabe","Peronismo","Regular positiva","No sabe","No sabe","Ns/Nc","Distinto que su padre","Roberto Lavagna","Mauricio Macri","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Algo en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Mujer","30 a 49 años","Terciario/ universitario","Trabaja",1," Obra social",0.544356173452499,"1_No interesado","9_NS","2_Positiva","9_NS","9_NS","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"31",31,"Muy interesado","Clarín","Su familia","Centroizquierda","Peronismo","Buena","Mejor que ahora","Algo progresista","Bastante nacionalista","Igual que su padre","Cristina Kirchner","Daniel Filmus","Muy de acuerdo","Muy de acuerdo","Algo en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Hombre","18 a 29 años","Secundario","Es estudiante",1," Obra social",2.16767322841093,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"32",32,"Muy interesado","Clarín","No sabe","No sabe","No sabe","Buena","Mejor que ahora","Algo progresista","Ns/Nc","Igual que su padre","Cristina Kirchner","No sabe","No sabe","No sabe","No sabe","No sabe","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Mujer","18 a 29 años","Secundario","Trabaja",1,"No tiene cobertura",1.49202078002418,"2_Interesado","9_NS","2_Positiva","1_Conservador","9_NS","9_NS","9_NS","9_NS","9_NS","2_Acuerdo","1_Desacuerdo","2_Acuerdo"
"33",33,"Muy interesado","Otros","Otros grupos","Izquierda","Otros partidos","Regular positiva","Igual que ahora","Decididamente progresista","Bastante nacionalista","Distinto que su padre","En blanco","Daniel Filmus","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Algo en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Hombre","50 a 65años","Terciario/ universitario","Trabaja",1," Obra social",0.618227011084154,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"34",34,"Bastante interesado","No lee diarios","Su familia","Centroizquierda","Peronismo","Buena","Mejor que ahora","No sabe","Muy nacionalista","Distinto que su padre","Cristina Kirchner","Daniel Filmus","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Algo en desacuerdo","Algo en desacuerdo","Muy de acuerdo","Mujer","66 y más","Primario","Es ama de casa",1,"No tiene cobertura",1.34369084653868,"2_Interesado","1_Izquierda","2_Positiva","9_NS","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"35",35,"Bastante interesado","Clarín",NA,"Izquierda","Socialismo","Buena","Igual que ahora","Algo progresista","Poco nacionalista","Ns/Nc","Elisa Carrió","No sabe","Muy en desacuerdo","Muy de acuerdo","Bastante de acuerdo","Algo en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Bastante de acuerdo","Hombre","66 y más","Terciario/ universitario","Es jubilado o pensionado",1,"Prepaga",0.390135930420291,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","1_No nacionalista","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"36",36,"Bastante interesado","Clarín",NA,"Izquierda","Peronismo","Regular positiva","Igual que ahora","Algo conservadora","Bastante nacionalista","Igual que su padre","Cristina Kirchner","Daniel Filmus","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Algo en desacuerdo","Algo en desacuerdo","Bastante de acuerdo","Muy de acuerdo","Hombre","50 a 65años","Primario","Trabaja",1," Obra social",3.09350147460195,"2_Interesado","1_Izquierda","2_Positiva","2_Progresista","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo"
"37",37,"Muy interesado","Clarín","Su familia","No sabe","Peronismo","Regular positiva","No sabe","Algo progresista","Bastante nacionalista","Igual que su padre","No sabe","No sabe","Muy en desacuerdo","Algo en desacuerdo","No sabe","No sabe","No sabe","No sabe","Muy de acuerdo","Mujer","30 a 49 años","Terciario/ universitario","Trabaja",1,"Prepaga",0.544356173452499,"2_Interesado","9_NS","2_Positiva","1_Conservador","2_Nacionalista","1_Desacuerdo","1_Desacuerdo","9_NS","9_NS","9_NS","9_NS","2_Acuerdo"
"38",38,"Nada interesado","Otros",NA,"Derecha","Peronismo","Buena","Mejor que ahora","Decididamente progresista","Muy nacionalista","Igual que su padre","Cristina Kirchner","Daniel Filmus","Bastante de acuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Algo en desacuerdo","Hombre","50 a 65años","Terciario/ universitario","Trabaja",1," Obra social",0.618227011084154,"1_No interesado","2_Derecha","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo"
"39",39,"Nada interesado","No lee diarios",NA,"Izquierda","Peronismo","Regular Negativa","Peor que ahora","Algo conservadora","Bastante nacionalista","Distinto que su padre","No sabe","No sabe","Algo en desacuerdo","Bastante de acuerdo","Bastante de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Mujer","30 a 49 años","Secundario","Trabaja",1,"Prepaga",1.59095964611357,"1_No interesado","1_Izquierda","2_Positiva","2_Progresista","2_Nacionalista","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
"40",40,"Bastante interesado","Clarín",NA,"Centroizquierda","ARI","Regular positiva","Peor que ahora","Algo progresista","Bastante nacionalista","Igual que su padre","Cristina Kirchner","En blanco","Bastante de acuerdo","Algo en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy en desacuerdo","Hombre","50 a 65años","Secundario","Trabaja",1,"Prepaga",1.80685785289091,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","2_Nacionalista","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","1_Desacuerdo"
"41",41,"Muy interesado","No lee diarios","Su familia","Izquierda","Socialismo","Buena","Mejor que ahora","Decididamente progresista","Ns/Nc","Distinto que su padre","Cristina Kirchner","Daniel Filmus","Bastante de acuerdo","Bastante de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Bastante de acuerdo","Mujer","30 a 49 años","Terciario/ universitario","Trabaja",1," Obra social",0.544356173452499,"2_Interesado","1_Izquierda","2_Positiva","1_Conservador","9_NS","2_Acuerdo","2_Acuerdo","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo"
"42",42,"Muy interesado","La Nación","Su familia","Centroderecha","PRO","Regular positiva","Peor que ahora","Algo progresista","Ns/Nc","Ns/Nc","Elisa Carrió","Mauricio Macri","Algo en desacuerdo","Bastante de acuerdo","Algo en desacuerdo","Muy en desacuerdo","Bastante de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Mujer","18 a 29 años","Terciario/ universitario","Es estudiante",1," Obra social",0.510503660171152,"2_Interesado","2_Derecha","2_Positiva","1_Conservador","9_NS","1_Desacuerdo","2_Acuerdo","1_Desacuerdo","1_Desacuerdo","2_Acuerdo","2_Acuerdo","2_Acuerdo"
